filename,title,author,subtitle,confidence,language,rel_path
plan-accioxxn-y-mercado.jpg,"PLAN, ACCIÓN Y MERCADO",ÁNGEL RODRÍGUEZ GARCÍA-BRAZALES,UN ANÁLISIS ACERCA DE LA NATURALEZA Y ALCANCE DE LA TEORÍA ECONÓMICA CONTEMPORÁNEA,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\plan-accioxxn-y-mercado.jpg
110 notas en libertad educativa_.jpg,110 NOTAS,EDGARDO ZABLOTSKY; Alberto Benegas Lynch (h),en libertad educativa,0.9,es,110 notas en libertad educativa_.jpg
9788472099562D-267x431.jpg,ANARKHOS,Gustave de Molinari,Esbozo de la organización política y económica de la sociedad futura,0.9,es,9788472099562D-267x431.jpg
9788472099593D.jpg,ANARKHOS,ANTONY P. MUELLER; Gilberto Ramírez Espinosa,Principios del anarcocapitalismo y la demarquía,0.9,es,9788472099593D.jpg
Achaques y manias de la Sociología Moderna.jpg,Achaques y manías de la sociología moderna,Pitirim A. Sorokin,y ciencias afines,0.9,es,Achaques y manias de la Sociología Moderna.jpg
Afrolibertarismo en construcción a través de la visión libertaria.jpg,Afrolibertarismo en construcción,Armando Capito,Cartilla de combate y argumentación capitalista educación antimarxista,0.9,es,Afrolibertarismo en construcción a través de la visión libertaria.jpg
Agorismo_ Hacia una sociedad anarquista de mercado_.jpg,AGORISMO,ERVIN TORRES AGUILAR,Hacia una sociedad anarquista de mercado,0.9,es,Agorismo_ Hacia una sociedad anarquista de mercado_.jpg
AnarcoDigital.jpg,AnarcoDigital,Luis Henrique de O. de Souza,,0.9,es,AnarcoDigital.jpg
anarkia-G.jpg,ANARKÍA,Simón Royo,ANARCOLEPSIS,0.9,es,anarkia-G.jpg
"Anarquismo Individualista. Anarcocapitalismo, Anarquismo Egoista, Anarquistas Individualistas, Criptoanarquismo, Ilegalismo.jpg",ANARQUISMO INDIVIDUALISTA,"ANARCOPATISMO, ANARQUISMO EGOÍSTA, ANARQUISTAS INDIVIDUALISTAS, CRIPTOANARQUISMO, ILEGALISMO, CRIPTOGRAFÍA ASIMÉTRICA, MAX STIRNER, ORDEN ESPONTÁNEO, JULES BONNOT, BITCOIN, WILLIAM GODWIN, ÉMILE ARMAND, PIERRE-JOSEPH PROUDHON",,0.7,es,"Anarquismo Individualista. Anarcocapitalismo, Anarquismo Egoista, Anarquistas Individualistas, Criptoanarquismo, Ilegalismo.jpg"
Aspectos negativos de la intervención económica_.jpg,Aspectos Negativos,Luis Correa Prieto,de la INTERVENCION ECONOMICA,0.9,es,Aspectos negativos de la intervención económica_.jpg
Capitalismo - Jeannette von Wolfersoorff.jpg,CAPITALISMO,JEANNETTE VON WOLFERSDORFF,"Una historia sobre innovación, inversiones y el ser humano",0.9,es,Capitalismo - Jeannette von Wolfersoorff.jpg
Colecti-Victimismo.jpg,COLECTI-VICTIMISMO,CARLOS PRALLONG,"MANUAL DE RESILIENCIA ECOSOSTENIBLE PARA TODAS, TODES, TODIS, TODOS Y TODUS",0.9,es,Colecti-Victimismo.jpg
Contra el Sistema - Isaac Álvarez Casanova.jpg,Contra el Sistema,Isaac Alvarez Casasola,"De a poco, pero sin pausa",0.9,es,Contra el Sistema - Isaac Álvarez Casanova.jpg
Cripto Steven Levy.jpg,Cripto,Steven Levy,Cómo los informáticos libertarios vencieron al gobierno y salvaguardaron la intimidad en la era digital,0.9,es,Cripto Steven Levy.jpg
Criptodivisas_.jpg,CRIPTODIVISAS,JURAJ BEDNÁR,HACKEA TU CAMINO HACIA UNA VIDA MEJOR,0.9,es,Criptodivisas_.jpg
Criptomoneda y soberanía.jpg,Criptomoneda y soberanía,Alejandro Alessi; David Coronel; Tomás Pomar; Juan Emilio Rivera (comps.),Tensiones del dinero en el siglo XXI,0.9,es,Criptomoneda y soberanía.jpg
Crítica al Anarcocapitalismo_.jpg,Crítica al anarcocapitalismo,Ludovico Lalli,,0.9,es,Crítica al Anarcocapitalismo_.jpg
Cómo la IA transformará nuestro futuro_.jpg,CÓMO LA IA TRANSFORMARÁ NUESTRO FUTURO,PEDRO URIA-RECIO,COMPRENDE LA INTELIGENCIA ARTIFICIAL Y PREPÁRATE PARA EL MAÑANA,0.9,es,Cómo la IA transformará nuestro futuro_.jpg
Cómo los países salen de la pobreza_.jpg,COMO LOS PAÍSES SALEN DE LA POBREZA,RAINER ZITELMANN,"Vietnam, Polonia y los orígenes de la prosperidad",0.9,es,Cómo los países salen de la pobreza_.jpg
De Viena a Madrid.jpg,DE VIENA A MADRID,DAVID HOWDEN; PHILIPP BAGUS,Ensayos en honor de Jesús Huerta de Soto,0.9,es,De Viena a Madrid.jpg
Decifrando los autoritarismos en america latina.jpg,Descifrando,Miguel Ángel Martínez Meucci,los autoritarismos en América Latina,0.9,es,Decifrando los autoritarismos en america latina.jpg
Ellos los Fascistas - Javier Rogrigo.jpg,"Ellos, los fascistas",Javier Rodrigo; Maximiliano Fuentes,La banalización del fascismo y la crisis de la democracia,0.9,es,Deusto\Ellos los Fascistas - Javier Rogrigo.jpg
La verdad sobre el Neoliberalismo.jpg,LA VERDAD SOBRE EL NEOLIBERALISMO,ALBERTO MINGARDI,EL POCO QUE HAY Y EL MUCHO QUE FALTA,0.9,es,Deusto\La verdad sobre el Neoliberalismo.jpg
Mitos Progres - Michael Huemer.jpg,MITOS PROGRES,MICHAEL HUEMER; PABLO MALO,,0.9,es,Deusto\Mitos Progres - Michael Huemer.jpg
Todo lo que necesitas saber sobre.jpg,TODO LO QUE NECESITAS SABER SOBRE,ANTONELLA MARTY,"Historia, arte, ciencia, religión, astrofísica, filosofía, política y economía",0.9,es,Deusto\Todo lo que necesitas saber sobre.jpg
Dueños o inquilinos_.jpg,Dueños o inquilinos,Federico González Rouco,"¿Cómo pensar el acceso a la vivienda? Qué sabemos, qué hicimos y hacia dónde vamos",0.9,es,Dueños o inquilinos_.jpg
Educación como problema.jpg,EDUCACION,ANNIE SPOONER,Como,0.9,es,Educación como problema.jpg
El Camino de la servidumbre a la libertad_.jpg,EL camino,MARTÍN CARRANZA TORRES,de la servidumbre a la libertad,0.9,es,El Camino de la servidumbre a la libertad_.jpg
El capitalismo liberado.jpg,EL CAPITALISMO LIBERADO,ANDREW BERNSTEIN,EL INCONTESTABLE ARGUMENTO MORAL POR LOS DERECHOS INDIVIDUALES,0.9,es,El capitalismo liberado.jpg
El comunismo neoliberal_.jpg,EL COMUNISMO NEOLIBERAL,SEBASTIÁN IZQUIERDO,Diagnóstico de un futuro muy presente,0.9,es,El comunismo neoliberal_.jpg
El Diario Henry David Thoreau.jpg,El Diario,Henry David Thoreau,(1837-1861),0.9,es,El Diario Henry David Thoreau.jpg
El futuro anárquico y el anarcocapitalismo_.jpg,El futuro anárquico y el anarcocapitalismo,Ravikumar Kurup,- El mundo neogandhiano,0.9,es,El futuro anárquico y el anarcocapitalismo_.jpg
El lapiz milagroso.jpg,El lápiz milagroso,Connor Boyack,,0.9,es,El lapiz milagroso.jpg
El libro negro del indigenismo_.jpg,EL LIBRO NEGRO DEL INDIGENISMO,Cristián Rodrigo Iturralde,Terrorismo y Separatismo en América,0.9,es,El libro negro del indigenismo_.jpg
El origen del Poder en occidente.gif,El origen del poder de Occidente,Carlos Alberto Patiño Villa,"Estado, guerra y orden internacional",0.9,es,El origen del Poder en occidente.gif
El Poder de la Destrucción Creativa.jpg,El poder de la destrucción creativa,PHILIPPE AGHION; CÉLINE ANTONIN; SIMON BUNEL,¿Qué impulsa el crecimiento económico?,0.9,es,El Poder de la Destrucción Creativa.jpg
El surgimiento de la libertad moderna_.jpg,El surgimiento de la libertad moderna,Paul Laurent,La experiencia republicana anglo-neerlandesa del siglo XVII,0.9,es,El surgimiento de la libertad moderna_.jpg
En defensa del optimismo.jpg,EN DEFENSA DEL OPTIMISMO,Gonzalo Rojas-May,CARTA DE NAVEGACIÓN PARA EL SIGLO XXI,0.9,es,En defensa del optimismo.jpg
En Defensa del Trabajo.gif,En defensa del trabajo,Thomas Hodgskin,,0.9,es,En Defensa del Trabajo.gif
A gold new deal.jpg,A Gold New Deal,"MIKE TER MAAT, EDITOR",The Government We Will Tolerate,0.9,en,En Inglés\A gold new deal.jpg
Abolishing the State_ Embracing Freedom Market.jpg,Abolishing the State,ANDY REVEN,Embracing Market Freedom,0.9,en,En Inglés\Abolishing the State_ Embracing Freedom Market.jpg
Act of Sedition_ A definitive refutation of Statism.jpg,Act of Sedition,Jason A. DeMartino,A Definitive Refutation of Statism,0.9,en,En Inglés\Act of Sedition_ A definitive refutation of Statism.jpg
Agorism_ Philosophy of Peaceful Revolution_.jpg,Agorism: The Philosophy of Peaceful Revolution,Francis Williams,"Origins, Philosophy, Practice, and the Path to a Free Society",0.9,en,En Inglés\Agorism_ Philosophy of Peaceful Revolution_.jpg
"AI Anarchy, inc_.jpg","AI Anarchy, Inc.",PATRICK SCHWERDTFEGER,A Roadmap for Business Executives,0.9,en,"En Inglés\AI Anarchy, inc_.jpg"
Anarchy Exposed.jpg,ANARCHY EXPOSED,Shepard the Voluntaryist; Larken Rose,,0.9,en,En Inglés\Anarchy Exposed.jpg
Dignity & Decency.jpg,Dignity & Decency,Sterlin Lujan,Rhapsodic Musings of a Modern Anarchist,0.9,en,En Inglés\Dignity & Decency.jpg
Enviromental Ethics.jpg,ENVIRONMENTAL ETHICS,David Schmidtz; Dan C. Shahar,"What Really Matters, What Really Works",0.9,en,En Inglés\Enviromental Ethics.jpg
Explorations in The Theory of Anarchy.jpg,Explorations in The Theory of Anarchy,Gordon Tullock,,0.9,en,En Inglés\Explorations in The Theory of Anarchy.jpg
Freedom and Security Scott McPherson.jpg,The Right to Keep and Bear Arms,Scott McPherson,Freedom and Security: The Second Amendment,0.9,en,En Inglés\Freedom and Security Scott McPherson.jpg
G1EhwuOWkAA6v6j.jpeg,THE ECONOMIC ANATOMY OF A DRUG WAR,DAVID W. RASMUSSEN; BRUCE L. BENSON,Criminal Justice in the Commons,0.9,en,En Inglés\G1EhwuOWkAA6v6j.jpeg
IMG_20250415_153913.jpg,The Austrian School of Economics,Renaud Fillieule,Concepts and Theories,0.9,en,En Inglés\IMG_20250415_153913.jpg
IMG_20250416_162656.jpg,modern,Brian Doherty,Libertarianism,0.9,en,En Inglés\IMG_20250416_162656.jpg
IMG_20250610_094836.jpg,The Adventures of Huckleberry Infinity,David Friedman,,0.9,en,En Inglés\IMG_20250610_094836.jpg
IMG_20250610_094903.jpg,VICTIM'S RIGHTS,GARY NORTH,The Biblical View of Civil Justice,0.9,en,En Inglés\IMG_20250610_094903.jpg
IMG_20250610_095110.jpg,Dolarización,Emilio Ocampo; Nicolás Cachanosky,una solución para la Argentina,0.9,es,En Inglés\IMG_20250610_095110.jpg
IMG_20250610_100119.jpg,"ANARCOCAPITALISMO, ANARCO LIBERALISMO, ANARCO LIBERTARISMO",Daniel Müller,,0.9,es,En Inglés\IMG_20250610_100119.jpg
IMG_20250610_100618.jpg,"ABUNDANCE, GENEROSITY, AND THE STATE",Jörg Guido Hülsmann,AN INQUIRY INTO ECONOMIC PRINCIPLES,0.9,en,En Inglés\IMG_20250610_100618.jpg
IMG_20250610_100725.jpg,CRONYISM,PATRICK NEWMAN,RISE OF THE CORPORATIST STATE 1849-1929,0.9,en,En Inglés\IMG_20250610_100725.jpg
IMG_20250610_100842.jpg,An Axiological Process Ethics,REM B. EDWARDS,,0.9,en,En Inglés\IMG_20250610_100842.jpg
IMG_20250610_115540.jpg,SHOGUN'S GHOST,Ken Schoolland,THE DARK SIDE OF JAPANESE EDUCATION,0.9,en,En Inglés\IMG_20250610_115540.jpg
IMG_20250610_115623.jpg,AM I IN DANGER?,,,0.7,en,En Inglés\IMG_20250610_115623.jpg
IMG_20250610_115703.jpg,A NEW HISTORY OF LEVIATHAN,RONALD RADOSH; MURRAY N. ROTHBARD,Essays on the Rise of the American Corporate State,0.9,en,En Inglés\IMG_20250610_115703.jpg
IMG_20250610_115757.jpg,VOLUNTARYIST,,Suit Saga,0.7,en,En Inglés\IMG_20250610_115757.jpg
IMG_20250610_115957.jpg,THE CAMP OF THE SAINTS,Jean Raspail,,0.9,en,En Inglés\IMG_20250610_115957.jpg
IMG_20250610_120638.jpg,PHILOSOPHICAL VOLUNTARYISM,JACK LLOYD,,0.9,en,En Inglés\IMG_20250610_120638.jpg
IMG_20250610_120736.jpg,THE UNSCHOOLED ADVENTURES OF JACK AND PHO,,,0.7,en,En Inglés\IMG_20250610_120736.jpg
IMG_20250610_121208.jpg,LIFE,JEFFREY TUCKER,after LOCK DOWN,0.9,en,En Inglés\IMG_20250610_121208.jpg
IMG_20250610_121311.jpg,Natural Property Rights,ERIC R. CLAEYS,,0.9,en,En Inglés\IMG_20250610_121311.jpg
IMG_20250610_122018.jpg,A Little Book on Libertarianism,N. Brent Mattingly,,0.9,en,En Inglés\IMG_20250610_122018.jpg
IMG_20250610_122548.jpg,COMMON LAW LIBERALISM,JOHN HASNAS,A NEW THEORY OF THE LIBERTARIAN SOCIETY,0.9,en,En Inglés\IMG_20250610_122548.jpg
IMG_20250610_122723.jpg,Anarcho-Capitalism,Harley Rossi,Exploring a Stateless Society,0.9,en,En Inglés\IMG_20250610_122723.jpg
IMG_20250610_122843.jpg,Por qué el Estado,Milton Friedman,es el problema,0.9,es,En Inglés\IMG_20250610_122843.jpg
IMG_20250610_122950.jpg,Mainline Economics,Peter J. Boettke; Stefanie Haefele-Balch; Virgil Henry Storr,Six Nobel Lectures in the Tradition of Adam Smith,0.9,en,En Inglés\IMG_20250610_122950.jpg
IMG_20250610_124238.jpg,Applied Mainline Economics,Matthew D. Mitchell; Peter J. Boettke,Bridging the Gap between Theory and Public Policy,0.9,en,En Inglés\IMG_20250610_124238.jpg
IMG_20250610_124334.jpg,LECTURAS DE ECONOMÍA POLÍTICA,Jesús Huerta de Soto,Volumen I,0.9,es,En Inglés\IMG_20250610_124334.jpg
IMG_20250610_124614.jpg,Anarcho-Capitalism,Harley Rossi,Exploring a Stateless Society,0.9,en,En Inglés\IMG_20250610_124614.jpg
IMG_20250610_124921.jpg,DOCTOR X,MAÑAS & LEDESMA; FERNANDO CAUDEVILLA,EL MEDICO DE LA DARK WEB,0.9,es,En Inglés\IMG_20250610_124921.jpg
IMG_20250610_125000.jpg,EVERYONE IS AN ENTREPRENEUR,GREGORY V. DIEHL,SELLING ECONOMIC SELF-DETERMINATION IN A POST-SOVIET WORLD,0.9,en,En Inglés\IMG_20250610_125000.jpg
IMG_20250610_125034.jpg,The Effective Libertarian,Charles Barr,"Reframing our principles, policies and messaging to win the fight for liberty",0.9,en,En Inglés\IMG_20250610_125034.jpg
IMG_20250610_125119.jpg,Offended Freedom,CAROLIN AMLINGER; OLIVER NACHTWEY,The Rise of Libertarian Authoritarianism,0.9,en,En Inglés\IMG_20250610_125119.jpg
IMG_20250610_125239.jpg,Bramble Government,Gordan Runyan,A Ragtown Pulpit Sermon Against Executive Power,0.9,en,En Inglés\IMG_20250610_125239.jpg
IMG_20250610_125342.jpg,ESSAYS ON LIBERALISM AND THE ECONOMY,F.A. HAYEK; Paul Lewis,,0.9,en,En Inglés\IMG_20250610_125342.jpg
IMG_20250610_125420.jpg,LOS LIBERALES,Ezequiel Ogueta,que hicieron la revolución de mayo,0.9,es,En Inglés\IMG_20250610_125420.jpg
IMG_20250610_125508.jpg,LOS FUNDAMENTOS IDEOLÓGICOS DEL SOCIALISMO BOLIVARIANO,ALEJANDRO PERDOMO FERMÍN,UNA CONTRIBUCIÓN AL ESTUDIO DEL CHAVISMO EN VENEZUELA,0.9,es,En Inglés\IMG_20250610_125508.jpg
IMG_20250610_140523.png,LIBERALISM AND CRONYISM,RANDALL G. HOLCOMBE; ANDREA M. CASTILLO,Two Rival Political and Economic Systems,0.9,en,En Inglés\IMG_20250610_140523.png
IMG_20250610_140531.jpg,False Dawn,GEORGE SELGIN,THE NEW DEAL AND THE PROMISE OF RECOVERY 1933-1947,0.9,en,En Inglés\IMG_20250610_140531.jpg
IMG_20250610_140543.jpg,A Concise History of the Common Law,Theodore F. T. Plucknett,,1.0,en,En Inglés\IMG_20250610_140543.jpg
IMG_20250610_140603.png,THE STRUGGLE FOR LIBERTY,Ralph Raico; Ryan McMaken,A Libertarian History of Political Thought,0.9,en,En Inglés\IMG_20250610_140603.png
IMG_20250610_140653.jpg,The Anarchist-Individualist Origins of Italian Fascism,,,0.8,en,En Inglés\IMG_20250610_140653.jpg
IMG_20250610_141236.jpg,Une Brève Histoire de l'Homme,Hans-Hermann Hoppe,,0.9,fr,En Inglés\IMG_20250610_141236.jpg
IMG_20250610_141311.jpg,NARCOPATISMO,Laurent de Sutter,,0.9,es,En Inglés\IMG_20250610_141311.jpg
IMG_20250610_141531.jpg,ECONOMIC IGNORANCE,DOMINIK JURAK,And Its Fatal Consequences on Today’s Society,0.9,en,En Inglés\IMG_20250610_141531.jpg
IMG_20250610_141626.jpg,Gun Control,Darius Werden; Anthony Gregory; Kelly Sue; Nathan Goodenow; Logan Marie Glitterworth,Who Gets Control?,0.9,en,En Inglés\IMG_20250610_141626.jpg
IMG_20250610_141653.jpg,Against All Nations & Borders,Charles W. Johnson,,0.9,en,En Inglés\IMG_20250610_141653.jpg
IMG_20250610_141714.jpg,Libertarian Feminism: Can this marriage be saved?,Charles W. Johnson,,0.9,en,En Inglés\IMG_20250610_141714.jpg
IMG_20250610_141803.jpg,Liberty and Security in an Anarchical World Volume I,Brandon Christensen,Westphalian Sovereignty and the National State,0.9,en,En Inglés\IMG_20250610_141803.jpg
IMG_20250610_142508.jpg,THE STOIC CAPITALIST,ROBERT ROSENKRANZ,ADVICE FOR THE EXCEPTIONALLY AMBITIOUS,1.0,en,En Inglés\IMG_20250610_142508.jpg
IMG_20250610_143057.jpg,Good Intentions,BOB ZEIDMAN,,0.9,en,En Inglés\IMG_20250610_143057.jpg
IMG_20250610_143242.jpg,THE FUTURE IS DECENTRALIZED,Breck Grainger,Cryptocurrency and Blockchain Explained,0.9,en,En Inglés\IMG_20250610_143242.jpg
IMG_20250610_143400.jpg,Freestate California,Wayne C. Grantham,,0.9,en,En Inglés\IMG_20250610_143400.jpg
IMG_20250610_143809.jpg,INDIVISIBLE,TROY GRICE,COME AND TAKE IT,0.9,en,En Inglés\IMG_20250610_143809.jpg
IMG_20250610_143836.jpg,Oathkeeper,Troy Grice,,0.9,en,En Inglés\IMG_20250610_143836.jpg
IMG_20250610_144232.jpg,The Essence of Hayek,Chiaki Nishiyama; Kurt R. Leube,,0.9,en,En Inglés\IMG_20250610_144232.jpg
IMG_20250610_152532.jpg,RECAPITALISM,ADAM GALLAGHER,For the Wealth of People,0.9,en,En Inglés\IMG_20250610_152532.jpg
IMG_20250610_152606.jpg,Trulbert!,Mitch Berg,A Comic Novella About the End of the World As We Know It,0.9,en,En Inglés\IMG_20250610_152606.jpg
IMG_20250610_160647.jpg,The Great Hope,Lawrence W. Reed,Essays on Character and Liberty,0.9,en,En Inglés\IMG_20250610_160647.jpg
IMG_20250610_192707.jpg,The Ego and His Own,John Henry Mackay,,0.9,en,En Inglés\IMG_20250610_192707.jpg
IMG_20250707_180045.jpg,Net Neutrality Compendium,Luca Belli; Primavera De Filippi (eds.),"Human Rights, Free Competition and the Future of the Internet",0.9,en,En Inglés\IMG_20250707_180045.jpg
IMG_20250707_180126.jpg,How to harness the value of Bitcoin,Juraj Bednár,without having to sell it,0.9,en,En Inglés\IMG_20250707_180126.jpg
IMG_20250707_180142.jpg,THE ORANGE FLASH OF FREEDOM,Juraj Bednár,Understanding and using the Bitcoin Lightning network,0.9,en,En Inglés\IMG_20250707_180142.jpg
IMG_20250707_180205.jpg,Cryptocurrencies,Juraj Bednár,"Hack your way to a better life: How Bitcoin, cryptocurrency and a return to hard, non-inflationary currency will help us change our lives and the world",0.9,en,En Inglés\IMG_20250707_180205.jpg
IMG_20250707_180253.jpg,AnarchoSF #1,Rich Dana,Science Fiction and the Stateless Society,0.8,es,En Inglés\IMG_20250707_180253.jpg
IMG_20250707_180309.jpg,The Empire of Commerce,Cássio Peixoto; Modesto Da Silva,A Journey Toward Stateless Societies,0.9,en,En Inglés\IMG_20250707_180309.jpg
IMG_20250707_180335.jpg,The Evolution of Human Co-operation,Charles Stanish,Ritual and Social Complexity in Stateless Societies,0.9,en,En Inglés\IMG_20250707_180335.jpg
IMG_20250707_180402.jpg,Anarchy and Peace,Truth Seeker,The Non-Aggression Principle and the Case for a Stateless Society,0.9,en,En Inglés\IMG_20250707_180402.jpg
IMG_20250707_180422.jpg,THE FREEDOM FOREST,,A TALE OF A SOCIETY WITHOUT RULERS,0.7,en,En Inglés\IMG_20250707_180422.jpg
IMG_20250707_180458.jpg,Anarchy,Vygintas Varnas,A Dive into a World Without Rulers,0.9,en,En Inglés\IMG_20250707_180458.jpg
IMG_20250707_180523.jpg,CRYPTO ANARCHY,LUIS GARCIA,,0.9,es,En Inglés\IMG_20250707_180523.jpg
IMG_20250707_180538.jpg,Crypto Anarchy,,,0.7,en,En Inglés\IMG_20250707_180538.jpg
IMG_20250707_180611.jpg,THE BLOCKCHAIN CODE,DAVE KINSEY,Decrypt the jungle of complexity to win THE CRYPTO-ANARCHY GAME,0.9,en,En Inglés\IMG_20250707_180611.jpg
IMG_20250707_180643.jpg,Bitism,Leon Tusk,Cryptic Anarchy,0.9,es,En Inglés\IMG_20250707_180643.jpg
IMG_20250707_181028.jpg,THE BLOCKCHAIN REVOLUTION,ANDREW UPDEGROVE,A TALE OF INSANITY AND ANARCHY,0.9,en,En Inglés\IMG_20250707_181028.jpg
IMG_20250707_181107.jpg,THE RISE OF CRYPTOPOLIS,LEONARDO ARAUJO,,0.9,en,En Inglés\IMG_20250707_181107.jpg
IMG_20250707_181127.jpg,THE ANARCHIST'S CRYPTO COOKBOOK,,,0.7,en,En Inglés\IMG_20250707_181127.jpg
IMG_20250707_181217.jpg,Recuperar la humanidad,Maria,un plan para la coexistencia con la IA,0.8,es,En Inglés\IMG_20250707_181217.jpg
IMG_20250707_181248.jpg,THE 20 LAWS OF AI POWER,JUSTIN GOLDSTON PHD,Mastering the Future of Autonomous Intelligence,0.9,en,En Inglés\IMG_20250707_181248.jpg
IMG_20250707_181310.jpg,The Freedom Fund,Justin Goldston PhD,Universal Basic Income v2,0.9,en,En Inglés\IMG_20250707_181310.jpg
IMG_20250707_220703.jpg,Being Sovereign,Jim Davidson,,0.9,en,En Inglés\IMG_20250707_220703.jpg
IMG_20250707_220718.jpg,cc me,Bitcoin Belle,,0.8,en,En Inglés\IMG_20250707_220718.jpg
IMG_20250707_220739.jpg,DEBATING LIBERTARIANISM,SAMUEL FREEMAN; JASON BRENNAN,WHAT MAKES SOCIETY JUST?,0.9,en,En Inglés\IMG_20250707_220739.jpg
IMG_20250707_220757.jpg,Libertarianism,Jessica Flanigan; Christopher Freiman,the basics,0.9,en,En Inglés\IMG_20250707_220757.jpg
IMG_20250707_221039.jpg,Anarcocapitalismo,Bruno Ferreira,O Futuro,0.9,pt,En Inglés\IMG_20250707_221039.jpg
IMG_20250707_221213.jpg,THE FALSE PROMISE,Mark Winters,"The Myth of Democracy, Globalist Agendas, and the Case for Anarcho-Capitalism",0.9,en,En Inglés\IMG_20250707_221213.jpg
IMG_20250707_221230.jpg,Freedom Unbound,ANDY REVEN,The Case for Anarcho-Capitalism,0.9,es,En Inglés\IMG_20250707_221230.jpg
IMG_20250708_162130.jpg,PROOF of PROTEST,,USING CRYPTO TOOLS FOR REAL-WORLD RESISTANCE,0.7,en,En Inglés\IMG_20250708_162130.jpg
IMG_20250708_162243.jpg,DECENTRALIZED CITIZEN SCIENCE,,A NEW PARADIGM FOR ROBUST BIOMETRIC RESEARCH AND BEYOND,0.7,en,En Inglés\IMG_20250708_162243.jpg
IMG_20250708_162436.jpg,REINTERPRETING LIBERTARIANISM,Łukasz Dominiak; Igor Wysocki; Stanisław Wójtowicz; Dawid Megger,NEW DIRECTIONS IN LIBERTARIAN STUDIES,0.9,en,En Inglés\IMG_20250708_162436.jpg
IMG_20250708_162457.jpg,ANARCHY and CHRISTIANITY,Jacques Ellul; Geoffrey W. Bromiley; David Gill,,0.9,en,En Inglés\IMG_20250708_162457.jpg
IMG_20250708_232834.jpg,THE SWALLOWER,MAXIMILIAN CROSS,HOW ELITES AND THE HIDDEN POWER MANIPULATE SOCIETY,0.9,en,En Inglés\IMG_20250708_232834.jpg
IMG_20250708_232856.jpg,Introduction to the Libertarian Party,Wes Benedict,"For Democrats, Republicans, Libertarians, Independents, and Everyone Else",0.9,en,En Inglés\IMG_20250708_232856.jpg
IMG_20250708_232923.jpg,THE CONSERVATARIAN MANIFESTO,CHARLES C. W. COOKE,,0.9,en,En Inglés\IMG_20250708_232923.jpg
IMG_20250708_232951.jpg,Libertarian Capitalism,Luis Fernando Tejada Yepes,A Journey to the Austrian School of Economics,0.9,es,En Inglés\IMG_20250708_232951.jpg
IMG_20250708_233010.jpg,My libertarian journal,,"365 inspiring quotes about freedom, peace, & prosperity",0.8,en,En Inglés\IMG_20250708_233010.jpg
IMG_20250708_233037.jpg,UNRULED,Sol Roth,The Path to Radical Freedom is Through Axiomatic Sovereignty (The Future of Government Book 1),0.9,en,En Inglés\IMG_20250708_233037.jpg
IMG_20250708_233053.jpg,Understanding the Austrian School of Economics in 10 Days,Nikolaus Stahl,"Everything You Were Never Taught About Money, Markets, and Freedom",0.9,en,En Inglés\IMG_20250708_233053.jpg
IMG_20250708_233107.jpg,"The Austrian School of Economics in the ideology of Javier Milei, President of Argentina",Luis Fernando Tejada Yepes; Luis Tejada,,0.8,es,En Inglés\IMG_20250708_233107.jpg
IMG_20250922_130610.jpg,Building Community,"James S. Gruber, PhD, PE",Twelve Principles for a Healthy Future,0.9,en,En Inglés\IMG_20250922_130610.jpg
IMG_20250922_130813.jpg,Psycho-Cybernetics,Maxwell Maltz,Updated & Expanded,0.9,en,En Inglés\IMG_20250922_130813.jpg
IMG_20250922_130918.jpg,HAYEK,EDITED BY THOMAS J. DILORENZO,FOR THE 21ST CENTURY,0.9,en,En Inglés\IMG_20250922_130918.jpg
IMG_20250922_131447.jpg,THE BITCOIN GUIDEBOOK,Ian DeMartino,"How to Obtain, Invest, and Spend the World's First Decentralized Cryptocurrency",0.9,en,En Inglés\IMG_20250922_131447.jpg
IMG_20250923_132604.jpg,COMMON INTEREST COMMUNITIES,"Stephen E. Barton; Carol J. Silverman, Editors",Private Governments and the Public Interest,0.9,en,En Inglés\IMG_20250923_132604.jpg
IMG_20250923_132616.jpg,The Condominium Concept,Peter M. Dunbar,"A Practical Guide for Officers, Owners, Realtors, Attorneys, and Directors of Florida Condominiums",0.9,en,En Inglés\IMG_20250923_132616.jpg
IMG_20250923_132638.jpg,CONDOMINIUM GOVERNANCE AND LAW IN GLOBAL URBAN CONTEXT,Randy K. Lippert; Stefan Treffers,,0.9,en,En Inglés\IMG_20250923_132638.jpg
IMG_20250923_132710.jpg,"Protecting Apartments, Condominiums, and Gated Communities","Michael A. Silva, CPP, CSC",A Guide to Security for Homeowner's Associations and Property Managers,0.9,en,En Inglés\IMG_20250923_132710.jpg
IMG_20250923_132728.jpg,Gated Communities,Rowland Atkinson; Sarah Blandy,,0.9,en,En Inglés\IMG_20250923_132728.jpg
IMG_20250923_132751.jpg,The ABCs of HOAs,SCOTT P. BRADY,"The Ultimate Guide of Homeowners' Associations for Buyers, Owners, and Boards of Directors",0.9,en,En Inglés\IMG_20250923_132751.jpg
IMG_20250923_132806.jpg,HOUSING CO-OPERATIVES,JOHN HANDS,,0.9,en,En Inglés\IMG_20250923_132806.jpg
